1562974865612,null,47,humidity_remote0,47
1562974875615,null,20.0,temp_remote0,20.0
1562974875615,null,331,presistor_remote0,331
1562974875615,null,0,ledIndicator,0
1562974875615,null,1,garageRelay,1
1562974875615,null,1,relay2,1
1562974875615,null,21.50,temp_local,21.50
1562974875615,null,47,humidity_remote0,47
1562974885610,null,47,humidity_remote0,47
1562974885610,null,310,presistor_remote0,310
1562974885610,null,0,ledIndicator,0
1562974885610,null,1,garageRelay,1
1562974885610,null,1,relay2,1
1562974885610,null,60.25,humidity_local,60.25
1562974885610,null,20.0,temp_remote0,20.0
1562859260651,null,20.0,temp_remote0,20.0
1562974885610,null,21.50,temp_local,21.50
1562974895618,null,47,humidity_remote0,47
1562974895618,null,306,presistor_remote0,306
1562974895618,null,0,ledIndicator,0
1562974895618,null,1,relay2,1
1562974895618,null,60.25,humidity_local,60.25
1562974895618,null,20.0,temp_remote0,20.0
1562974895618,null,21.50,temp_local,21.50
1562974905620,null,47,humidity_remote0,47
1562974905620,null,311,presistor_remote0,311
1562974905620,null,0,ledIndicator,0
1562974905620,null,1,garageRelay,1
1562974905620,null,1,relay2,1
1562974905620,null,20.0,temp_remote0,20.0
1562974905620,null,60.25,humidity_local,60.25
1562974905620,null,21.50,temp_local,21.50
1562974915620,null,60.25,humidity_local,60.25
1562974915620,null,330,presistor_remote0,330
1562974915620,null,0,ledIndicator,0
1562974915620,null,1,garageRelay,1
1562974915620,null,1,relay2,1
1562974915620,null,20.0,temp_remote0,20.0
1562974915620,null,21.50,temp_local,21.50
1562974915620,null,47,humidity_remote0,47
1562974925622,null,47,humidity_remote0,47
1562974925622,null,318,presistor_remote0,318
1562974925622,null,0,ledIndicator,0
1562974925622,null,1,garageRelay,1
1562974925622,null,1,relay2,1
1562974925622,null,60.25,humidity_local,60.25
1562974925622,null,20.0,temp_remote0,20.0
1562974925622,null,21.50,temp_local,21.50
1562974935624,null,47,humidity_remote0,47
1562974935624,null,312,presistor_remote0,312
1562974935624,null,0,ledIndicator,0
1562974935624,null,1,garageRelay,1
1562974935624,null,1,relay2,1
1562974935624,null,20.0,temp_remote0,20.0
1562974935624,null,60.25,humidity_local,60.25
1562974935624,null,21.50,temp_local,21.50
1562974945627,null,21.50,temp_local,21.50
1562974945627,null,334,presistor_remote0,334
1562974945627,null,0,ledIndicator,0
1562974945627,null,1,garageRelay,1
1562974945627,null,1,relay2,1
1562974945627,null,60.25,humidity_local,60.25
1562974945627,null,20.0,temp_remote0,20.0
1562974945627,null,47,humidity_remote0,47
1562974955632,null,21.50,temp_local,21.50
1562974955632,null,0,ledIndicator,0
1562974955632,null,328,presistor_remote0,328
